time_ms,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
82.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.3400000000000123,0.0
83.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
84.0,-2.6666666666666714,-2.0,0.0,2.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
85.0,-2.6666666666666714,-2.0,0.0,1.9500000000000048,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
86.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,-2.0,-3.0,-1.0,0.0
87.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,-1.6900000000000106,-3.0,-1.0,0.0
88.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
89.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
90.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
91.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
92.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
93.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
94.0,-2.6666666666666714,-2.0,0.0,1.0,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
95.0,-2.6666666666666714,-2.0,0.0,1.174999999999994,-2.0,-3.0,1.0,1.0,-1.0,-3.0,-1.0,0.0
96.0,-2.6666666666666714,-2.0,0.0,1.7399999999999978,-2.0,-3.0,1.0,1.0,-1.4799999999999955,-3.0,-1.0,0.0
